Name,Country,Competition,Year,All-Around Score Final,All-Around Score Qualif,Vault Score Final,Vault Score Qualif,Uneven Bars Score Final,Uneven Bars Score Qualif,Balance Beam Score Final,Balance Beam Score Qualif,Floor Exercise Score Final,Floor Exercise Score Qualif,Team Score Final,Team Score Qualif
MORENO Alexa,MEX,Games of the XXXII Olympiad TOKYO (JPN),2021,,50.798,,14.633,,12.566,,11.066,,12.333,,
MORENO Alexa,MEX,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,51.765,52.331,14.166,14.149,,12.466,,12.266,,13.033,,154.628
MORENO Alexa,MEX,FIG World Challenge Cup 2024 KOPER (SLO),2024,,,13.6,13.55,,,,,,,,
MORENO Alexa,MEX,FIG World Challenge Cup 2024 VARNA (BUL),2024,,,13.749,13.725,,10.7,,,,11.85,,
MORENO Alexa,MEX,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,,54.866,,14.633,,13.333,,13.3,,13.833,,
MORENO Alexa,MEX,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,51.766,14.633,14.816,,12.666,,11.9,,12.3,,153.429
MORENO Alexa,MEX,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,,51.332,14.508,14.466,,12.133,,11.966,,12.6,,152.197
MORENO Alexa,MEX,46th FIG Artistic Gymnastics World Championships GLASGOW (GBR),2015,,53.865,14.566,14.899,,13.066,,12.4,,13.366,,206.628
MORENO Alexa,MEX,45th FIG Artistic Gymnastics World Championships NANNING (CHN),2014,,52.998,14.549,14.816,,12.666,,13.166,,12.366,,212.795
MORENO Alexa,MEX,43rd FIG Artistic Gymnastics World Championships TOKYO (JPN),2011,,38.399,14.216,14.249,,10.866,,,,12.9,,206.751
MORENO Alexa,MEX,42nd FIG Artistic Gymnastics World Championships ROTTERDAM (NED),2010,,37.066,,,,,,11.433,,11.9,,204.043
MORENO Alexa,MEX,FIG World Challenge Cup 2023 PARIS (FRA),2023,,,14.075,14.15,,,,,13.3,13.05,,
MORENO Alexa,MEX,2023 Senior Pan American Championships MEDELLIIN (COL),2023,51.6,,13.7,,,,,,,,,
MORENO Alexa,MEX,2018 Senior Pan American Championships LIMA (PER),2018,52.8,52.8,13.583,13.583,12.567,12.567,12.9,12.9,13.2,13.2,,
MORENO Alexa,MEX,FIG World Cup 2019 DOHA (QAT),2019,,,14.4,14.449,,,,,,,,
